Site,Latitude,Longitude,Date,Air Temperature (CÂ°),Air Temperature Uncertainty (CÂ°),Wind Direction at 3m (Â°N),Wind Direction at 3m Uncertainty (Â°N),Wind Speed at 3m (m/s),Wind Speed at 3m Uncertainty (m/s),Wind Speed at 3m (std dev) (m/s),Wind Speed at 3m (std dev) Uncertainty (m/s),DHI (Wh/m2),DHI Uncertainty (Wh/m2),Standard Deviation DHI (Wh/m2),DNI (Wh/m2),DNI Uncertainty (Wh/m2),Standard Deviation DNI (Wh/m2),GHI (Wh/m2),GHI Uncertainty (Wh/m2),Standard Deviation GHI (Wh/m2),Peak Wind Speed at 3m (m/s),Peak Wind Speed at 3m Uncertainty (m/s),Relative Humidity (%),Relative Humidity Uncertainty (%),Barometric Pressure (mB (hPa equiv)),Barometric Pressure Uncertainty (mB (hPa equiv)),GHI(Computed)
Jazan - University,16.96035,42.545865,1/3/2021 0:00,28.4,0.5,224,4,2.7,0.1,2,2459.1,627,455.7,4951.1,1156.1,966.1,6135.9,1272,412.2,10.9,0.1,66.9,3,1010.2,5.1,4.75745165,420.367021
Jazan - University,16.96035,42.545865,1/4/2021 0:00,30.2,0.5,230,4,2.8,0.1,2.1,2649,736.3,615.1,4894.8,1274.8,1291,6471.7,1354.4,440.7,14.1,0.1,65.2,3,1008.9,5,4.75745165,463.2889088
Jazan - University,16.96035,42.545865,1/5/2021 0:00,32.3,0.5,264,3.7,2.6,0.1,2,2731.9,758,586.7,4649.9,1210.6,1742.1,6409.8,1338.5,808.5,11.2,0.1,66.1,3,1006.3,5,4.75745165,440.7910811
Jazan - University,16.96035,42.545865,1/7/2021 0:00,33,0.5,245,4,3.2,0.1,2.6,3252.6,749.3,614.7,2258.3,689.6,1158.5,5168.4,1179.1,1250.8,21.9,0.1,65.4,3,1002.7,5,4.75745165,255.4261332
Jazan - University,16.96035,42.545865,1/8/2021 0:00,33.2,0.5,237,4,2.6,0.1,2.1,3038.2,209.8,451.6,2985.1,265.6,1272.2,5508.7,366.6,1052.2,14.4,0.1,70,3,1003.7,5,4.75745165,102.168905
Jazan - University,16.96035,42.545865,1/9/2021 0:00,32.9,0.5,235,4,2,0.1,2.4,2713.4,646.8,381.4,3697.1,978.8,1055.4,5653.7,1203.7,771.3,16,0.1,69.5,3,1004.7,5,4.75745165,357.8666851
Jazan - University,16.96035,42.545865,1/10/2021 0:00,31.5,0.5,223,4,0.3,0,1.2,2142.3,172.8,515.4,4702.2,384,1197.6,5472.3,380.1,438.9,9.9,0,70.3,3,1008.9,5.1,4.75745165,143.9156483
Jazan - University,16.96035,42.545865,1/11/2021 0:00,29.7,0.5,0,0,0,0,0,1707.7,138.2,284,5022.5,359,996.7,4887.3,312.2,404,0,0,68.8,3,1011.3,5.1,4.75745165,134.637042
Jazan - University,16.96035,42.545865,1/12/2021 0:00,27.5,0.5,39,0,0,0,0,1608.2,113,278.4,4876.1,359.5,1060.8,4518,282,371,0.5,0,70.3,3,1013.5,5.1,4.75745165,134.431889
Hada Al Sham - KAU,21.80117,39.72854,1/1/2017 0:00,24.6,0.5,275,4,1.7,0,1.4,2557.729545,1576.4,430.8,416.8,4993.9,1137.8,1568.2,4408.1,896.9,513.2,10.1,0.1,61,3,987.8,4.9,2081.277875
Hada Al Sham - KAU,21.80117,39.72854,1/2/2017 0:00,24,0.5,9,4,2.8,0.1,2.2,2557.729545,2232.5,550.8,584.9,2989.1,1470.1,2354.6,4151,1098.9,1204,19.7,0.1,46.8,3,987.3,4.9,1367.449335
Hada Al Sham - KAU,21.80117,39.72854,1/3/2017 0:00,26.9,0.5,266,4,2,0,1.6,2557.729545,2605.2,732,738.5,3849.1,1214.4,2004.4,5374.8,1222.8,800.1,13.3,0.1,50.7,3,983.8,4.9,1675.332979
Hada Al Sham - KAU,21.80117,39.72854,1/4/2017 0:00,31.7,0.5,252,4,2.1,0,1.6,2557.729545,2869.7,680.1,468,3937.6,1132,1150.1,5999.1,1240.9,520,15.7,0.1,38,3,982.8,4.9,1705.623508
Hada Al Sham - KAU,21.80117,39.72854,1/5/2017 0:00,34.6,0.5,280,4,2.1,0,1.6,2557.729545,2984.3,725.1,541.1,4711.6,1147.7,1053.1,6750,1364.6,406.7,13.3,0.1,33.4,3,981.4,4.9,1980.586862
Hada Al Sham - KAU,21.80117,39.72854,1/6/2017 0:00,35.2,0.5,259,4,2,0,1.7,2557.729545,2732.3,232.2,631.2,5928.5,490.1,1474.9,7303.9,463,367.3,12,0.1,34,3,977.8,4.9,2411.757546
Hada Al Sham - KAU,21.80117,39.72854,1/9/2017 0:00,35.3,0.5,247,4,2.3,0.1,1.7,2557.729545,2651.4,230.1,391.7,4646,402.4,982,6183.4,526,370.6,13.6,0.1,43.3,3,979.9,4.9,1957.533315
Hada Al Sham - KAU,21.80117,39.72854,1/10/2017 0:00,31.6,0.5,256,3.7,1.7,0,1.5,2557.729545,1732.9,118.3,209.4,6069.7,413,692.1,5780.6,360.6,388.4,12.3,0.1,49.6,3,983.2,4.9,2462.00106
Hada Al Sham - KAU,21.80117,39.72854,1/11/2017 0:00,28.4,0.5,261,4,1.7,0,1.4,2557.729545,1667.8,136,361,4858.2,386.6,1462.4,4581.6,299.7,668.1,11.2,0.1,57.2,3,985.6,4.9,2032.426702
Hada Al Sham - KAU,21.80117,39.72854,1/3/2018 0:00,28.2,0.5,252,4,2,0.1,1.7,2557.729545,2220.1,185.1,669.9,6090.5,481.7,1742.6,6510.6,424.5,555.5,14.4,0.1,38.4,3,984.3,4.9,2469.074802
Hada Al Sham - KAU,21.80117,39.72854,1/4/2018 0:00,29.6,0.5,262,4,2.1,0.1,1.6,2557.729545,2751,230.5,698,5662.1,503.9,1757.6,7066.7,466.4,641.8,12,0.1,35.2,3,982.2,4.9,2317.837905
Hada Al Sham - KAU,21.80117,39.72854,1/5/2018 0:00,33.9,0.5,274,4,2.5,0.1,1.9,2557.729545,3206.6,261.2,730.8,5161.2,456.5,1575.3,7265.9,462.6,412.7,14.7,0.1,28.4,3,980.4,4.9,2140.158808
Hada Al Sham - KAU,21.80117,39.72854,1/6/2018 0:00,35.1,0.5,273,4,2.4,0.1,1.7,2557.729545,3182.3,271.3,848.6,5201.8,502.4,1991.8,7274,473.1,590.4,14.9,0.1,30,3,978.2,4.9,2154.361295
Hada Al Sham - KAU,21.80117,39.72854,1/7/2018 0:00,34.5,0.5,283,3.7,2.2,0.1,1.7,2557.729545,2989,227.7,770.9,5476,530.9,1631.2,7251.2,537.3,376.3,12.5,0.1,30.4,3,978.4,4.9,2251.165073
Hada Al Sham - KAU,21.80117,39.72854,1/8/2018 0:00,34.5,0.5,287,4,2.4,0.1,1.8,2557.729545,2558.4,188.2,588.9,5718.3,449.8,1508.4,6941.3,448.7,517.7,13.3,0.1,35,3,978.6,4.9,2336.543611
Hada Al Sham - KAU,21.80117,39.72854,1/9/2018 0:00,34.4,0.5,243,4,2.2,0,1.5,2557.729545,3019.6,226.6,433.9,3925.1,314.9,791.7,6064.4,376.9,234.3,16.5,0.1,48.7,3,980.2,4.9,1703.688127
Hada Al Sham - KAU,21.80117,39.72854,1/10/2018 0:00,31.2,0.5,249,3.7,2.1,0,1.6,2557.729545,2017.2,153.1,370.6,4820.8,385.3,1796.5,5283.7,360.6,1080.4,15.5,0.1,45.6,3,984.2,4.9,2018.158225
Hada Al Sham - KAU,21.80117,39.72854,1/11/2018 0:00,26,0.5,314,4,1.7,0,1.5,2557.729545,1778.7,137.4,392.5,3773,393,2012.6,3986.5,293.8,1086.6,13.3,0.1,61.1,3,986.1,4.9,1647.353686
Hada Al Sham - KAU,21.80117,39.72854,1/12/2018 0:00,24.3,0.5,292,4,1.7,0,1.2,2557.729545,1787.3,142.5,450.1,3944.5,425.1,2110.2,3945.8,283,743.2,9.9,0.1,58.4,3,988,5,1708.188231
Hada Al Sham - KAU,21.80117,39.72854,1/1/2019 0:00,23.8,0.5,256,3.7,1.8,0,1.4,2557.729545,1989.4,166.9,506.4,3655.1,424.7,1996.2,4115.1,314.6,843.1,13.9,0.1,60.7,3,988.1,4.9,1606.52988
Hada Al Sham - KAU,21.80117,39.72854,1/2/2019 0:00,24,0.5,314,3.7,2.3,0,1.7,2557.729545,2181.9,210.7,653.9,4078.1,487.5,2637.1,4777.5,381.8,1269.2,15.5,0.1,49.5,3,987.1,4.9,1755.309396
Hada Al Sham - KAU,21.80117,39.72854,1/3/2019 0:00,24.6,0.5,302,4,2.5,0.1,1.9,2557.729545,2349.6,214.4,853.8,5648.3,537.5,2589.1,6230.3,432.2,1177.4,20,0.1,41.6,3,985.8,5,2312.927664
Hada Al Sham - KAU,21.80117,39.72854,1/4/2019 0:00,29.1,0.5,270,4,2.3,0.1,1.6,2557.729545,2751.7,726.4,1047.5,5575.1,1296.2,2464.2,6906.5,1212.6,681.1,13.6,0.1,37.4,3,983.2,4.9,2287.567781
Hada Al Sham - KAU,21.80117,39.72854,1/5/2019 0:00,33.1,0.5,249,3.7,2,0,1.6,2557.729545,2958.4,685.4,503.4,4915.1,1267.2,1074,6841.2,1451.9,436.3,19.5,0.1,35.9,3,981.4,4.9,2053.23933
Hada Al Sham - KAU,21.80117,39.72854,1/6/2019 0:00,35.6,0.5,293,4,2.4,0.1,1.9,2557.729545,3095,708,420.2,4821.7,1305.6,1342.5,6968.9,1518.8,759.9,15.2,0.1,28.9,3,978.8,4.9,2018.699539
Hada Al Sham - KAU,21.80117,39.72854,1/7/2019 0:00,34.8,0.5,295,4,2.2,0.1,1.8,2557.729545,2747.2,491.6,636.2,5982,1373.8,1466.6,7390.4,1462.7,421.2,13.3,0.1,28.6,3,977.5,4.9,2429.59369
Hada Al Sham - KAU,21.80117,39.72854,1/8/2019 0:00,33.9,0.5,265,4,2.2,0.1,1.7,2557.729545,2516.4,164.2,485,5552.8,394.5,1331.1,6803,439.4,715.9,17.9,0.1,41.9,3,979.3,4.9,2279.033586
Hada Al Sham - KAU,21.80117,39.72854,1/9/2019 0:00,33.9,0.5,261,4,2,0,1.6,2557.729545,2587.3,209.2,456,4885,402.3,1192.9,6277.8,416.8,475.4,14.9,0.1,42.5,3,979.5,4.9,2041.851119
Hada Al Sham - KAU,21.80117,39.72854,1/10/2019 0:00,30.5,0.5,243,3.9,1.6,0,1.6,2557.729545,1940.5,214.6,393.4,5294.1,452.2,1032.8,5533.9,492.1,315.4,23.5,0.1,55.3,3.2,983.7,5.2,2188.07886
Hada Al Sham - KAU,21.80117,39.72854,1/11/2019 0:00,27.5,0.5,277,3.8,1.6,0,1.7,2557.729545,1673.9,143,406.5,4939,457.2,1670.5,4597.5,335.1,637.5,16.3,0.1,53.8,3.1,985,5.1,2060.209061
Hada Al Sham - KAU,21.80117,39.72854,1/12/2019 0:00,24.1,0.5,12,4,2.2,0.1,2.1,2557.729545,1568.1,120.9,451.8,4959.9,448.1,1807.5,4264.9,294,562.8,17.1,0.1,51.5,3,987.3,4.9,2066.942556
Hada Al Sham - KAU,21.80117,39.72854,1/1/2020 0:00,21.1,0.5,355,4,2.6,0.1,2,2557.729545,1408,436.9,588.2,6102.4,1656.1,2446.8,4793.9,1077.3,787.1,18.4,0.1,45.1,3,989.5,5,2471.771675
Hada Al Sham - KAU,21.80117,39.72854,1/2/2020 0:00,23.2,0.5,294,4,1.9,0,1.7,2557.729545,2217,590.4,596.7,4158.9,1536.9,2272.7,4873.9,1215.7,1164.3,13.9,0.1,50.2,3,988.3,5,1784.601497
Hada Al Sham - KAU,21.80117,39.72854,1/3/2020 0:00,25.7,0.5,278,4,2,0.1,1.9,2557.729545,2599.8,688.8,726.9,5377.8,1590.5,2041.1,6432.5,1395.7,928.7,15.5,0.1,42.3,3,984.6,4.9,2217.685789
Hada Al Sham - KAU,21.80117,39.72854,1/4/2020 0:00,28.8,0.5,260,4,1.8,0,1.7,2557.729545,2288.5,727.2,796.3,6487.8,1878.4,2007.5,7119.5,1540.4,602.1,11.7,0.1,39,3,983.7,4.9,2610.80184
Hada Al Sham - KAU,21.80117,39.72854,1/5/2020 0:00,33.2,0.5,268,4,1.9,0,1.9,2557.729545,2672.2,702.2,757,5689.8,1619.6,2109,7050,1508.4,1150.3,16.3,0.1,32.7,3,982,4.9,2327.208377
Hada Al Sham - KAU,21.80117,39.72854,1/9/2020 0:00,35.3,0.5,233,3.7,1.7,0,1.9,2557.729545,2400.9,586.7,385.8,5322.1,1295.6,983,6392.7,1325.9,390.7,21.6,0.1,39.7,3,979.1,4.9,2196.061992
Hada Al Sham - KAU,21.80117,39.72854,1/10/2020 0:00,32.1,0.5,68,4,1.9,0,1.9,2557.729545,1615.5,524.1,549.7,6810.4,1687.4,1531.1,6037.1,1272,380.2,23.2,0.1,34,3,983.7,4.9,2722.020582
Hada Al Sham - KAU,21.80117,39.72854,1/11/2020 0:00,27.5,0.5,263,3.7,1.2,0,1.4,2557.729545,1625.3,410.6,351.1,5119,1462.9,1545.9,4634,1004.9,663.9,12,0,56.3,3,986.2,4.9,2124.918669
Hada Al Sham - KAU,21.80117,39.72854,1/12/2020 0:00,25.3,0.5,282,4,1.3,0,1.6,2557.729545,1731.9,476.4,587.5,4494.3,1543.3,2289.4,4165,969.4,669.3,12.3,0.1,51.3,3,987.1,4.9,1901.983055
Hada Al Sham - KAU,21.80117,39.72854,1/1/2021 0:00,24,0.5,37,4,1.8,0.1,2.1,2557.729545,1760.7,520.5,647.5,5016.3,1555.5,1968.9,4611,1033.2,501.6,17.9,0.1,51.5,3,987.5,5,2087.89639
Hada Al Sham - KAU,21.80117,39.72854,1/2/2021 0:00,23.6,0.5,322,4,1.9,0.1,2.1,2557.729545,1893.5,523.4,543.1,4859.5,1753.5,2292.6,4965.1,1210.9,1210.9,15.7,0.1,52.3,3,987,4.9,2032.652418
Hada Al Sham - KAU,21.80117,39.72854,1/3/2021 0:00,27.5,0.6,242,4.2,1.6,0.1,1.8,2557.729545,2368.3,568.2,480.5,5520.5,960.4,1206.6,6314.5,1264.1,413.2,14.1,0.1,43.5,3.4,984.3,5.5,2267.840644
Hada Al Sham - KAU,21.80117,39.72854,1/4/2021 0:00,30.1,0.5,357,3.7,1.8,0.1,1.8,2557.729545,2883.8,738.3,682.8,4884.1,1405.5,1708.1,6643.7,1449.5,768.6,19.7,0.1,39.1,3,983.2,4.9,2042.689738
Hada Al Sham - KAU,21.80117,39.72854,1/5/2021 0:00,33.2,0.5,357,4,1.6,0,1.6,2557.729545,2374,616.4,670,6797.4,1927,1717.1,7513.3,1597.2,481.1,18.7,0.1,34.8,3,980.7,4.9,2720.167401
Hada Al Sham - KAU,21.80117,39.72854,1/7/2021 0:00,34.3,0.5,357,4,2,0.1,1.8,2557.729545,3150.5,777.3,506.3,4548.7,1239.1,1461.7,6766.8,1453.6,708.9,13.1,0.1,38,3,977.1,4.9,1923.049149
Hada Al Sham - KAU,21.80117,39.72854,1/8/2021 0:00,35.3,0.5,357,4,1.8,0,1.8,2557.729545,2800.2,210.8,517.8,5117.3,431.8,1219.8,6800.4,437.9,419.1,12.5,0.1,39.6,3,978,4.9,2124.592732
Hada Al Sham - KAU,21.80117,39.72854,1/9/2021 0:00,33.5,0.5,357,4,1.6,0,1.7,2557.729545,2779,688.8,457.6,4433,1206.9,1181.3,6135.9,1283.9,458.3,32,0.1,47.7,3,979.4,4.9,1882.834292
Hada Al Sham - KAU,21.80117,39.72854,1/10/2021 0:00,31.8,0.5,357,4,1.4,0,1.6,2557.729545,1873.8,159.3,407.3,5781.3,419.1,945,5756.3,370.3,326.1,11.2,0.1,44.2,3,983.1,4.9,2358.827019
Hada Al Sham - KAU,21.80117,39.72854,1/11/2021 0:00,27.7,0.5,357,4,1.2,0,1.4,2557.729545,1433.6,134.8,322.6,5484.8,427.7,1733.8,4633.4,319.2,958.6,12.5,0,50.8,3,985.4,4.9,2252.904555
Hada Al Sham - KAU,21.80117,39.72854,1/12/2021 0:00,24.9,0.5,357,4,1.2,0,1.4,2557.729545,1664.7,138.3,477.4,4401.5,401.2,1986,4082.8,283,686.9,9.6,0.1,53.1,3,987.4,4.9,1869.073814
Jeddah - KAU,21.49604,39.24492,1/1/2017 0:00,25.6,0.5,329,4,3.4,0.1,1.8,2557.729545,1566.2,404.5,325.6,4609.3,1027.2,1145.1,4179.9,832.1,326,15.2,0.1,80,3,1007.6,5,1954.14458
Jeddah - KAU,21.49604,39.24492,1/2/2017 0:00,24.8,0.5,337,4,4.4,0.1,2.3,2557.729545,2134.6,535.3,522.7,2999.4,1272.9,2106.7,4052.3,1043.5,1106.4,19.7,0.1,63.8,3,1007.1,5,1380.028998
Jeddah - KAU,21.49604,39.24492,1/3/2017 0:00,26.8,0.5,323,4,4.1,0.1,2.2,2557.729545,2542.8,705.5,716.2,3507.3,1099,1893.9,5072.3,1122.5,736.4,15.7,0.1,72.5,3,1003.5,5,1563.637876
Jeddah - KAU,21.49604,39.24492,1/4/2017 0:00,30.9,0.5,322,4,4.2,0.1,2.3,2557.729545,2830.8,711.2,557,3692.8,1095.2,1113.2,5700.8,1208.2,475,17.6,0.1,60.5,3,1002.2,5,1628.529935
Jeddah - KAU,21.49604,39.24492,1/5/2017 0:00,33.5,0.5,320,4,4.2,0.1,2.4,2557.729545,2791.6,650.6,405.7,4368,1101.9,1053.2,6236,1298.3,467.1,18.4,0.1,55.1,3,1000.6,5,1867.392622
Jeddah - KAU,21.49604,39.24492,1/6/2017 0:00,33.7,0.5,318,4,3.9,0.1,2,2557.729545,2515.2,684.7,557.3,5244.5,1482.8,1385.5,6628,1433.3,337,17.6,0.1,65,3,996.9,5,2179.186852
Jeddah - KAU,21.49604,39.24492,1/9/2017 0:00,33.9,0.5,317,3.7,3.6,0.1,1.8,2557.729545,2723.3,214.7,411,4310,340.1,942.6,5981.7,424.6,332.7,14.4,0.1,77.9,3,998.8,5,1850.787527
Jeddah - KAU,21.49604,39.24492,1/10/2017 0:00,31.4,0.5,325,3.7,3.6,0.1,1.9,2557.729545,1835.5,128.6,203.7,5582.8,392.3,663.4,5562,355,355.6,15.5,0.1,85.1,3,1002.5,5,2302.148671
Jeddah - KAU,21.49604,39.24492,1/11/2017 0:00,29.2,0.5,328,4,3.3,0.1,1.7,2557.729545,1802.6,137.4,347.8,4521,358.9,1174.9,4469.3,283.2,532.6,12.5,0.1,83,3,1005,5,1924.093634
Jeddah - KAU,21.49604,39.24492,1/3/2018 0:00,28.5,0.5,319,4,3.3,0.1,2.1,2557.729545,2259.9,201.3,702.2,5876,462.8,1563.1,6348.6,413.4,417.4,16.5,0.1,50.1,3,1003.6,5,2400.922646
Jeddah - KAU,21.49604,39.24492,1/4/2018 0:00,29.7,0.5,319,4,3.7,0.1,2.2,2557.729545,2655.6,222.3,624.1,5662.2,505.9,1493.5,6918,445.2,473.6,15.7,0.1,46.4,3,1001.4,5,2325.317304
Jeddah - KAU,21.49604,39.24492,1/5/2018 0:00,33.4,0.5,318,4,4,0.1,2.4,2557.729545,3077,249.3,768.3,5216.1,461.8,1575.5,7145.1,480.7,337.5,17.1,0.1,40.2,3,999.3,5,2166.956728
Jeddah - KAU,21.49604,39.24492,1/6/2018 0:00,33.9,0.5,317,4,4.2,0.1,2.3,2557.729545,3198.7,286,880.6,4900.1,467.1,1842.8,7049.4,486.3,457.5,20.3,0.1,46.2,3,997.1,5,2055.732155
Jeddah - KAU,21.49604,39.24492,1/7/2018 0:00,34.7,0.5,311,4,3.8,0.1,2.1,2557.729545,3023.7,223.1,621,4886.1,434.3,1258.1,6883,457.3,299.5,17.3,0.1,44.2,3,997.2,5,2049.679139
Jeddah - KAU,21.49604,39.24492,1/8/2018 0:00,34.5,0.5,313,4,4.1,0.1,2.2,2557.729545,2592.3,202.7,495.6,5172.4,413,1136.2,6584.6,452.5,396.4,16.5,0.1,50,3,997.4,5,2150.944455
Jeddah - KAU,21.49604,39.24492,1/9/2018 0:00,33.4,0.5,299,4,3,0.1,1.7,2557.729545,3065.4,234.6,463.1,3435,271.1,942.6,5723,361.5,318.9,17.9,0.1,64.1,3,998.9,5,1537.914014
Jeddah - KAU,21.49604,39.24492,1/10/2018 0:00,31.3,0.5,315,3.7,2.8,0.1,1.8,2557.729545,2094.4,146.2,310.1,4373.8,317.3,1476.7,5027.9,330.5,1035.3,13.9,0.1,61.2,3,1003.1,5,1868.094513
Jeddah - KAU,21.49604,39.24492,1/11/2018 0:00,27.7,0.5,342,4,2.9,0.1,1.7,2557.729545,1792.8,139.6,455.3,3701.1,350.9,1826.3,3939.4,279.9,992.4,15.7,0.1,58.3,3,1005.1,5,1626.867234
Jeddah - KAU,21.49604,39.24492,1/12/2018 0:00,25.7,0.5,333,4,3.7,0.1,2,2557.729545,1753.3,141.2,505.8,3762.9,392.1,2184.6,3797.9,262.5,767.7,13.9,0.1,62.6,3,1007.5,5.1,1650.046683
Jeddah - KAU,21.49604,39.24492,1/1/2019 0:00,25.1,0.5,327,3.7,3.4,0.1,2.1,2557.729545,2042.4,161.5,469,3345.4,344.5,1808.9,3970.1,292.2,761.6,16,0.1,65.3,3,1007.5,5,1503.213914
Jeddah - KAU,21.49604,39.24492,1/2/2019 0:00,25,0.5,329,3.8,4.1,0.1,2.5,2557.729545,2151.7,193.9,615.1,3871.2,465.4,2458.5,4629.8,348.2,1079,18.1,0.1,56,3,1006.5,5.1,1688.583352
Jeddah - KAU,21.49604,39.24492,1/3/2019 0:00,25.1,0.5,328,4,4.4,0.1,2.6,2557.729545,2348.2,212.5,798.9,5361.8,550.5,2262.7,6041.3,442,893.6,17.3,0.1,51.9,3,1005.3,5,2218.768351
Jeddah - KAU,21.49604,39.24492,1/4/2019 0:00,28.6,0.5,321,4,3.8,0.1,2.7,2557.729545,2576.9,642.1,925.4,5463.5,1180,2153.4,6618.6,1147,517.9,19.7,0.1,49.1,3,1002.5,5,2255.001946
Jeddah - KAU,21.49604,39.24492,1/5/2019 0:00,33.6,0.5,307,4,2.6,0.1,2,2557.729545,2746.2,675.9,422.6,4804.7,1118.6,823,6524.3,1309.7,236.1,13.9,0.1,43.8,3,1000.3,5,2020.126293
Jeddah - KAU,21.49604,39.24492,1/6/2019 0:00,34.9,0.5,322,4,4.5,0.1,2.4,2557.729545,3057.6,767.5,473.4,4456.4,1168.4,1183.1,6589.8,1370.3,473.9,21.9,0.1,43.8,3,997.4,5,1896.907599
Jeddah - KAU,21.49604,39.24492,1/7/2019 0:00,34.9,0.5,319,4,4.2,0.1,2.3,2557.729545,2642.1,239.2,698.6,5472.3,494.1,1508.7,6880.8,445.2,401.7,21.3,0.1,43.7,3,996.2,5,2256.279926
Jeddah - KAU,21.49604,39.24492,1/8/2019 0:00,34.1,0.5,306,3.7,3.7,0.1,2.4,2557.729545,2437.3,180.6,471.7,5252.1,367.7,1136.7,6475.4,394,441.8,18.9,0.1,54.8,3,998,5,2179.755572
Jeddah - KAU,21.49604,39.24492,1/9/2019 0:00,32.9,0.5,316,4,3.7,0.1,2.3,2557.729545,2502,217.5,475.2,4294.4,343.2,1054.4,5790.5,387.6,442.7,20,0.1,61.3,3,998.2,5,1840.469784
Jeddah - KAU,21.49604,39.24492,1/10/2019 0:00,31.6,0.5,310,4,2.7,0.1,1.8,2557.729545,2204.6,189.3,581.2,4315.5,346.7,1221.7,5083.3,339.9,268.2,16.3,0.1,62.8,3,1002.5,5,1848.030942
Jeddah - KAU,21.49604,39.24492,1/11/2019 0:00,29.2,0.5,332,3.8,2.8,0.1,1.7,2557.729545,1605,122.3,319.5,4497.7,409.6,1428.9,4252.7,299.2,674.4,14.1,0.1,59.6,3.1,1003.8,5.2,1909.645522
Jeddah - KAU,21.49604,39.24492,1/12/2019 0:00,25.7,0.5,338,3.7,4,0.1,2,2557.729545,1565.7,123.1,483,4614.5,387.7,1717.1,4059.6,262,487.5,15.7,0.1,57.4,3,1006.5,5,1950.936666
Jeddah - KAU,21.49604,39.24492,1/1/2020 0:00,22.6,0.5,335,3.9,4.4,0.1,2.2,2557.729545,1415.2,403.2,516,5733.1,1491.1,1818.3,4583.7,998.8,528.3,16.8,0.1,52.3,3,1009.2,5,2347.705722
Jeddah - KAU,21.49604,39.24492,1/2/2020 0:00,23.9,0.5,326,4,3.9,0.1,2.6,2557.729545,2208.5,604.9,667.4,4053.1,1438.3,2086.1,4780,1117.5,824.6,18.4,0.1,58.5,3,1007.7,5.1,1754.299328
Jeddah - KAU,21.49604,39.24492,1/3/2020 0:00,25.7,0.5,320,4,4,0.1,2.5,2557.729545,2378.5,611.8,672.5,4998.4,1492.7,1815.2,5935.3,1299.2,1055.5,16.8,0.1,57.1,3,1003.9,5,2090.331385
Jeddah - KAU,21.49604,39.24492,1/4/2020 0:00,28.2,0.6,316,4.7,3.3,0.1,2.5,2557.729545,2184.2,813.7,782,5974,2103.5,2043.3,6537,1683.6,640.9,17.9,0.1,54.4,3.5,1002.7,5.9,2436.083772
Jeddah - KAU,21.49604,39.24492,1/5/2020 0:00,31.9,0.5,320,4,3.8,0.1,2.4,2557.729545,2462.4,398.1,711.3,5198.2,872.5,2006.5,6427.6,1052.4,1019.6,17.6,0.1,48.8,3,1000.7,5,2159.912737
Jeddah - KAU,21.49604,39.24492,1/9/2020 0:00,34.2,0.5,304,4,2.7,0.1,1.8,2557.729545,2430.1,577,311.5,4579.5,1079.5,806.8,5847.3,1209.5,290.1,13.9,0.1,60.5,3,997.6,5,1941.42373
Jeddah - KAU,21.49604,39.24492,1/10/2020 0:00,32.3,0.5,317,4,2.3,0,1.5,2557.729545,1707.8,480.2,561.8,5708.9,1469.6,1451.5,5407.9,1148.4,389,17.3,0.1,52.5,3,1002.1,5,2339.560007
Jeddah - KAU,21.49604,39.24492,1/11/2020 0:00,28.5,0.5,329,3.7,3.4,0.1,2,2557.729545,1550.9,390.2,333,4592,1280.5,1435.1,4208.8,915.7,652.9,13.1,0.1,64,3,1005.1,5,1944.193403
Jeddah - KAU,21.49604,39.24492,1/12/2020 0:00,26.5,0.5,332,4,3.1,0.1,1.9,2557.729545,1687.9,445.6,526.2,4103,1425.4,2038.5,3885.5,886.9,583.9,14.4,0.1,60.3,3,1006.3,5,1770.063288
Jeddah - KAU,21.49604,39.24492,1/1/2021 0:00,25.4,0.5,336,4,3.3,0.1,2,2557.729545,1719.6,498.9,579.1,4525.4,1307.2,1638.6,4281.3,954,457.3,15.5,0.1,61.7,3,1006.7,5,1920.813066
Jeddah - KAU,21.49604,39.24492,1/2/2021 0:00,24.7,0.5,327,4,3.7,0.1,2.5,2557.729545,1769.2,503.3,514.7,4875.9,1518.2,1894,4820.6,1136.4,962.1,20,0.1,60.2,3,1006.5,5,2045.323222
Jeddah - KAU,21.49604,39.24492,1/9/2021 0:00,32.6,0.5,309,3.7,4,0.1,2.1,2557.729545,2585.6,597.4,347.1,3944.4,955.2,818.9,5596.1,1158.6,302.1,20,0.1,66.2,3,998.3,5,1717.301472
Jeddah - KAU,21.49604,39.24492,1/10/2021 0:00,30.9,0.5,311,4,0.7,0,1.7,2557.729545,1797.1,144.4,252.9,5048.1,358.1,604.7,5173.6,332.4,282.9,13.6,0.1,69.1,3,1002.3,5,2108.123202
Jeddah - KAU,21.49604,39.24492,1/11/2021 0:00,28.4,0.5,0,0,0,0,0,2557.729545,1386.1,108.7,222.7,4797.1,341.7,1312.1,4184.6,277.2,850.8,0,0,67.6,3,1004.8,5,2017.057908
Jeddah - KAU,21.49604,39.24492,1/12/2021 0:00,26.1,0.5,0,0,0,0,0,2557.729545,1689.8,129.9,411.5,3558.4,325.8,1732.2,3625.7,248.8,617,0,0,66.8,3,1007,5,1577.70273
Thuwal - KAUST,22.3065,39.107,1/1/2017 0:00,23.9,0.5,337,4,2.2,0,1.2,2557.729545,1551,392.1,335.8,5142.7,1155.2,1194.4,4441.4,947.2,374,11.2,0.1,83.6,3,1012.4,5.1,2145.804508
